annex_a,quota_period,line,label,category,value,repaired
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,A1),A1) Vehicle population as at 31 Dec 2019,A,321103,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,A1),A1) Vehicle population as at 31 Dec 2019,B,308991,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,A1),A1) Vehicle population as at 31 Dec 2019,C,151753,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,A1),A1) Vehicle population as at 31 Dec 2019,D,140329,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,A1),A1) Vehicle population as at 31 Dec 2019,E,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,A1),A1) Vehicle population as at 31 Dec 2019,Total,922176,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,A2),A2) Net increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],A,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,A2),A2) Net increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],B,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,A2),A2) Net increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],C,94,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,A2),A2) Net increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],D,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,A2),A2) Net increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],E,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,A2),A2) Net increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],Total,94,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,(A),(A) Increase in Vehicle Population,A,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,(A),(A) Increase in Vehicle Population,B,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,(A),(A) Increase in Vehicle Population,C,94,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,(A),(A) Increase in Vehicle Population,D,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,(A),(A) Increase in Vehicle Population,E,0,False
