lever_set,b_A,b_B,b_C,pcu_C,growth_upper,categories,jacobian_s2,jacobian_s3,r2_O1,r2_O2,r2_O3,largest_unexplained,o3_flat,front_s2,front_s3,front_n
injection,-0.5,-0.5,-0.5,1.0,0.01,ABCDE,0.0818,0.0045,0.99280,0.99736,0.98944,0.1028,False,0.4643,0.0293,200
injection,-0.5,-0.5,-0.5,1.0,0.01,ABC,0.0273,0.0182,0.98770,0.99736,0.98944,0.1109,False,0.2327,0.0350,200
injection,-0.5,-0.5,-0.5,1.0,0.03,ABCDE,0.1391,0.0144,0.97395,0.98915,0.97535,0.1614,False,0.4019,0.0195,200
injection,-0.5,-0.5,-0.5,1.0,0.03,ABC,0.0438,0.0246,0.96941,0.98915,0.97535,0.1749,False,0.2967,0.0323,200
injection,-0.5,-0.5,-0.5,1.5,0.01,ABCDE,0.0822,0.0225,0.99280,0.99499,0.98944,0.1028,False,0.4806,0.0230,200
injection,-0.5,-0.5,-0.5,1.5,0.01,ABC,0.0312,0.0153,0.98770,0.99499,0.98944,0.1109,False,0.0351,0.0112,200
injection,-0.5,-0.5,-0.5,1.5,0.03,ABCDE,0.1387,0.0496,0.97395,0.97967,0.97535,0.1614,False,0.4111,0.0328,200
injection,-0.5,-0.5,-0.5,1.5,0.03,ABC,0.0598,0.0185,0.96941,0.97967,0.97535,0.1749,False,0.0567,0.0102,200
injection,-0.5,-0.5,-0.5,2.0,0.01,ABCDE,0.0830,0.0396,0.99280,0.98943,0.98944,0.1028,False,0.5040,0.0352,200
injection,-0.5,-0.5,-0.5,2.0,0.01,ABC,0.0441,0.0105,0.98770,0.98943,0.98944,0.1109,False,0.0291,0.0059,200
injection,-0.5,-0.5,-0.5,2.0,0.03,ABCDE,0.1390,0.0838,0.97395,0.95726,0.97535,0.2067,False,0.4638,0.0268,200
injection,-0.5,-0.5,-0.5,2.0,0.03,ABC,0.0871,0.0125,0.96941,0.95726,0.97535,0.2067,False,0.0236,0.0049,200
injection,-0.5,-0.5,-0.5,3.0,0.01,ABCDE,0.0901,0.0683,0.99280,0.96938,0.98944,0.1750,False,0.5290,0.0400,200
injection,-0.5,-0.5,-0.5,3.0,0.01,ABC,0.0749,0.0057,0.98770,0.96938,0.98944,0.1750,False,0.0229,0.0018,200
injection,-0.5,-0.5,-0.5,3.0,0.03,ABCDE,0.1598,0.1287,0.97395,0.88390,0.97535,0.3407,False,0.3834,0.0219,200
injection,-0.5,-0.5,-0.5,3.0,0.03,ABC,0.1465,0.0075,0.96941,0.88390,0.97535,0.3407,False,0.0265,0.0019,200
injection,-0.5,-0.5,-1.0,1.0,0.01,ABCDE,0.0958,0.0173,0.98910,0.99736,0.98404,0.1264,False,0.5967,0.0350,200
injection,-0.5,-0.5,-1.0,1.0,0.01,ABC,0.0766,0.0245,0.97627,0.99736,0.98404,0.1541,False,0.5392,0.0427,200
injection,-0.5,-0.5,-1.0,1.0,0.03,ABCDE,0.1851,0.0383,0.94970,0.98915,0.95154,0.2243,False,0.5658,0.0611,200
injection,-0.5,-0.5,-1.0,1.0,0.03,ABC,0.1516,0.0253,0.93174,0.98915,0.95154,0.2613,False,0.3138,0.0335,200
injection,-0.5,-0.5,-1.0,1.5,0.01,ABCDE,0.0952,0.0328,0.98910,0.99499,0.98404,0.1264,False,0.5219,0.0489,200
injection,-0.5,-0.5,-1.0,1.5,0.01,ABC,0.0790,0.0237,0.97627,0.99499,0.98404,0.1541,False,0.2826,0.0345,200
injection,-0.5,-0.5,-1.0,1.5,0.03,ABCDE,0.1865,0.0655,0.94970,0.97967,0.95154,0.2243,False,0.5111,0.0590,200
injection,-0.5,-0.5,-1.0,1.5,0.03,ABC,0.1591,0.0243,0.93174,0.97967,0.95154,0.2613,False,0.1893,0.0265,200
injection,-0.5,-0.5,-1.0,2.0,0.01,ABCDE,0.0958,0.0477,0.98910,0.98943,0.98404,0.1264,False,0.5177,0.0476,200
injection,-0.5,-0.5,-1.0,2.0,0.01,ABC,0.0857,0.0219,0.97627,0.98943,0.98404,0.1541,False,0.4798,0.0233,200
injection,-0.5,-0.5,-1.0,2.0,0.03,ABCDE,0.1925,0.0884,0.94970,0.95726,0.95154,0.2243,False,0.4336,0.0450,200
injection,-0.5,-0.5,-1.0,2.0,0.03,ABC,0.1744,0.0222,0.93174,0.95726,0.95154,0.2613,False,0.2788,0.0216,200
injection,-0.5,-0.5,-1.0,3.0,0.01,ABCDE,0.1051,0.0706,0.98910,0.96938,0.98404,0.1750,False,0.5238,0.0373,200
